"PERMIT NUMBER","OWNER NAME","OPERATING NAME","STREET","CITY","STATE","ZIP","ZIP4","COUNTY"
"MI-W-15070","WOLCOTT ORCHARD & CIDER MILL LLC","WOLCOTT WINERY","3284 COLDWATER RD","MOUNT MORRIS","MI",48458,0,"GENESEE"
"MI-W-15071","JAMES G. GAVIN","SAGE CREEK WINERY","6713 SPARLING RD","KIMBALL","MI",48074,1716,"SAINT CLAIR"
"MI-W-15072","TREES WINES LLC","J. TREES CELLARS","5722 SUMMERFIELD RD","PETERSBURG","MI",49270,0,"MONROE"
"MI-W-15073","FOX BARN, LLC","THE FOX BARN","500 S 18TH AVE","SHELBY","MI",49455,0,"OCEANA"
"MI-W-15074","EMBRACE WINERY, LLC","EMBRACE WINERY","6945 JEFFERSON RD","NORTH BRANCH","MI",48461,8717,"LAPEER"
"MI-W-15075","R.B. VINO, INC.","VINTNER'S CELLAR OF ROYAL OAK","325 E FORTH ST","ROYAL OAK","MI",48067,0,"OAKLAND"
"MI-W-15077","MICHIGAN BREWING COMPANY, INC."," ","1093 HIGHVIEW DR","WEBBERVILLE","MI",48892,9270,"INGHAM"
"MI-W-15078","BERMOUNT, INC.","V C WINERY","4020 SOMERS DR","BURTON","MI",48529,2279,"GENESEE"
"MI-W-15080","ACOUSTIC BREWING COMPANY LC","ACOUSTIC","18905 SHUMSKY","LAKE ANN","MI",49650,0,"BENZIE"
"MI-W-15081","TANDEM CIDERS, INC.","TANDEM CIDERS","2055 N SETTERBO RD","SUTTONS BAY","MI",49682,9393,"LEELANAU"
"MI-W-15082","CIRCA ESTATE WINERY, LLC","CIRCA ESTATE WINERY","7788 E HORN RD","LAKE LEELANAU","MI",49653,0,"LEELANAU"
"MI-W-15083","BLUE WATER WINERY, LLC","BLUE WATER WINERY AND VINEYARD","7131 HOLVERSON RD","CARSONVILLE","MI",48419,0,"SANILAC"
"MI-W-15084","SEALS ENTERPRISES LLC","DUE VENTI","220 S MAIN ST","CLAWSON","MI",48017,2065,"OAKLAND"
"MI-W-15085","LEONARD R. OLSON","FOUNDER'S WINE CELLAR","8963 HILLS RD","BARODA","MI",49101,0,"BERRIEN"
"MI-W-15086","CHATEAU AERONAUTIQUE WINERY, LLC","CHATEAU AERONAUTIQUE","101 CHIEF DR","JACKSON","MI",49201,8154,"JACKSON"
"MI-W-15089","GREAT GRAPES INTERNATIONAL, LLC"," ","16128 HARBOR VIEW DR","SPRING LAKE","MI",49456,0,"OTTAWA"
"MI-W-15090","LEIGH'S GARDEN WINERY, INC."," ","904 LUDINGTON ST","ESCANABA","MI",49829,3827,"DELTA"
"MI-W-15091","VERITAS VINEYARD LLC","CHERRY CREEK CELLARS","11000 SILVER LAKE HWY","BROOKLYN","MI",49230,0,"JACKSON"
"MI-W-15093","HUDSONVILLE WINERY, INC.","HUDSONVILLE WINERY","3768 CHICAGO DR","HUDSONVILLE","MI",49426,0,"OTTAWA"
"MI-W-15094","AQUAMARINE SPRINGS, LLC"," ","550 S WISCONSIN AVE","GAYLORD","MI",49735,1742,"OTSEGO"
"MI-W-15095","SPICER'S ORCHARD WINERY, LLC"," ","10411 CLYDE RD","FENTON","MI",48430,9582,"GENESEE"
"MI-W-15096","TEMPERANCE DISTILLING COMPANY"," ","177 REED RD","TEMPERANCE","MI",48182,0,"MONROE"
"MI-W-15097","SAUGATUCK BREWING COMPANY, .INC"," ","2948 BLUE STAR HWY","DOUGLAS","MI",49406,0,"ALLEGAN"
"MI-W-15099","NORTHERN UNITED BREWING COMPANY LLC","NORTHERN UNITED BREWING COMPANY","3115 BROAD ST","DEXTER","MI",48130,1137,"WASHTENAW"
"MI-W-151","CONTESSA WINE CELLARS, INC."," ","3235 FRIDAY RD","COLOMA","MI",49038,8959,"BERRIEN"
"MI-W-15102","LEHMAN'S ORCHARD L.L.C.","LEHMANS ORCHARD","2280 PORTAGE RD","NILES","MI",49120,8765,"BERRIEN"
"MI-W-15103","MCCALLUM'S ORCHARD AND CIDER MILL L.L.C."," ","5697 HARRIS RD","JEDDO","MI",48032,1802,"SAINT CLAIR"
"MI-W-15105","L. MAWBY, LLC","L. MAWBY","121 FOURTH ST","SUTTONS BAY","MI",49682,0,"LEELANAU"
"MI-W-15108","BLACK & FAGAN CIDER CO., L.L.C."," ","9112 FIVE MILE NE","ADA","MI",49301,9777,"KENT"
"MI-W-15109","DAVID T BUTKOVICH","CODY KRESTA VINEYARD AND WINERY","45727 27TH ST","MATTAWAN","MI",49071,9736,"VAN BUREN"
"MI-W-15110","FINGERTIPS L.L.C.","FINGERTIPS","2445 S LAKE PLEASANT RD","OSSEO","MI",49266,9638,"HILLSDALE"
"MI-W-15111","FRENCH ROAD CELLARS, LLC"," ","2300 S FRENCH RD","LAKE LEELANAU","MI",49653,0,"LEELANAU"
"MI-W-15112","NORTHERN UNITED BREWING COMPANY LLC","NORTHERN UNITED BREWING COMPANY","311 SOUTH MAIN ST","ANN ARBOR","MI",48104,0,"WASHTENAW"
"MI-W-15113","BOATHOUSE VINEYARDS, LLC","BOATHOUSE VINEYARDS","5115 AMORE RD","LAKE LEELANAU","MI",49653,0,"LEELANAU"
"MI-W-15114","LIZAK ENTERPRISES LLC","S U & D WINERY OF MARQUETTE","1104 W WASHINGTON ST","MARQUETTE","MI",49855,0,"MARQUETTE"
"MI-W-15115","MICHIGAN BEER CELLAR, LLC","MICHIGAN WINE CELLAR","500 E DIVISION ST","SPARTA","MI",49345,9360,"KENT"
"MI-W-15116","SEVEN LAKES VINEYARD LLC","SEVEN LAKES VINEYARD","1111 TINSMAN","FENTON","MI",48430,0,"GENESEE"
"MI-W-15117","GARDEN BAY WINERY, L.L.C.","GARDEN BAY WINERY","15170 18TH RD","GARDEN","MI",49835,9705,"DELTA"
"MI-W-15118","OLD SHORE VINEYARDS, INC.","OLD SHORE VINEYARDS","264 BROWNTOWN RD","BUCHANAN","MI",49107,8351,"BERRIEN"
"MI-W-15119","VILLA MARI LLC","VILLA MARI VINEYARDS","4595 MURRAY RD","TRAVERSE CITY","MI",49686,0,"GRAND TRAVERSE"
"MI-W-15121","SWIRL ENTERPRISES, INC.","WASHINGTON STREET WINE HOUSE","50969 WASHINGTON ST","NEW BALTIMORE","MI",48047,2155,"MACOMB"
"MI-W-15123","COUNTRY MILL FARMS, LLC","COUNTRY MILL FARMS","4648 OTTO RD","CHARLOTTE","MI",48813,9723,"EATON"
"MI-W-15124","VERITAS VINEYARD LLC","SLEEPING BEAR WINERY",,"ALBION","MI",49224,0,"CALHOUN"
"MI-W-15125","WILDWOOD VINEYARD AND WINERY INC.","SUPERIOR COAST WINERY","447 W PORTAGE AVE","SAULT SAINTE MARIE","MI",49783,1989,"CHIPPEWA"
"MI-W-15126","FRANKENMUTH BREWING COMPANY"," ","425 S MAIN ST","FRANKENMUTH","MI",48734,1615,"SAGINAW"
"MI-W-15127","WHITE PINE WINERY AND VINEYARDS, LLC"," ","26701 80TH AVE","LAWTON","MI",49065,9661,"VAN BUREN"
"MI-W-15128","NORTH COAST, LC","NORTH COAST","36241 JEFFERSON AVE","HARRISON TWP","MI",48045,2906,"MACOMB"
"MI-W-15130","BERMOUNT, INC.","LE GRAND BISTRO","12745 S SAGINAW ST #805","GRAND BLANC","MI",48439,2466,"GENESEE"
"MI-W-15131","MICHIGAN BREWING COMPANY, INC.","MICHIGAN BREWING DOWNTOWN","402 S WASHINGTON SQ","LANSING","MI",48933,2172,"INGHAM"
"MI-W-15133","CHATEAU DE BAY, LLC","CHATEAU DE BAY","9900 E KOLARIK RD","SUTTONS BAY","MI",49682,0,"LEELANAU"
"MI-W-15135","FROLLO WINE SERVICES LLC","MT WINE CELLARS","822 SHAMROCK LN","TRAVERSE CITY","MI",49696,8758,"GRAND TRAVERSE"
"MI-W-15138","BRADLEY AND ELAINE MOORE","VALLEY MIST VINEYARDS","2742 TOWNLINE RD","ROSE CITY","MI",48654,9720,"OGEMAW"
"MI-W-15141","SLEEPING BEAR APIARIES, LTD.","ST. AMBROSE CELLARS","971 S PIONEER RD","BEULAH","MI",49617,9778,"BENZIE"
"MI-W-15142","ONE BEER AT A TIME, LLC","BREWERY VIVANT","925 CHERRY ST","GRAND RAPIDS","MI",49506,0,"KENT"
"MI-W-15143","FLYING OTTER WINERY, LLC","FLYING OTTER WINERY","3402 CHASE RD","ADRIAN","MI",49221,8305,"LENAWEE"
"MI-W-15144","DOUGLAS STATION, LLC","DOUGLAS VALLEY","3860 COHODOS RD","MANISTEE","MI",49660,0,"MANISTEE"
"MI-W-15147","HARBOR SPRINGS VINEYARDS & WINERY, L.L.C."," ","5699 S LAKESHORE DR","HARBOR SPRINGS","MI",49740,9784,"EMMET"
"MI-W-15148","SIMPLY BLENDED WINES, LLC"," ","26765 JOHN R RD","MADISON HEIGHTS","MI",48071,3615,"OAKLAND"
"MI-W-15151","NORTHVILLE BREWING COMPANY, LLC","THE NORTHVILLE WINERY","630 BASELINE RD","NORTHVILLE","MI",48167,1265,"WAYNE"
"MI-W-15153","CHAOS VINTNERS, LLC","CHAOS VINTNERS","8740 MATHESON RD","NORTHPORT","MI",49670,0,"LEELANAU"
"MI-W-15154","MICHIGAN BREWER - PUB & SUPPLIES LLC"," ","29215 NORTHWESTERN HWY","SOUTHFIELD","MI",48034,1024,"OAKLAND"
"MI-W-15155","MARILLA HILLS WINERY LLC","MARILLA HILLS WINERY","21571 HULLS RD","COPEMISH","MI",49625,9742,"MANISTEE"
"MI-W-15156","JAXON BEER COMPANY LLC","THE LOCAL PUB AND BREWERY","6020 ANN ARBOR RD","JACKSON","MI",49201,8884,"JACKSON"
"MI-W-15158","BLUSTONE PARTNERS, LLC","BLUSTONE VINEYARDS","780 N SYLT RD","SUTTONS BAY","MI",49682,0,"LEELANAU"
"MI-W-15160","RUSSELL WILLIAM NICEWANDER","BACKWOODS HOMEMADE WINES","8268 N MAC RD","IRONS","MI",49644,9570,"LAKE"
"MI-W-15161","DONNA M. COX","MARIA'S","330-332 CENTER ST","SOUTH HAVEN","MI",49090,1343,"VAN BUREN"
"MI-W-15164","CHESTER JOSEPH GUCWA","VINE-N-BERRY WINERY","3475 STEIN RD","BAD AXE","MI",48413,9647,"HURON"
"MI-W-15166","The Cellars at Royal Farms, LLC","The Cellars","10455 N US 31","ELLSWORTH","MI",49729,0,"ANTRIM"
"MI-W-15168","KRISTIE TOMLINSON-KELLEHER","DEWEY CANYON WINERY","9 N ELM ST","THREE OAKS","MI",49128,2110,"BERRIEN"
"MI-W-15170","GRAVITY PRODUCE, LLC","GRAVITY WINE","10220 LAUER RD","BARODA","MI",49101,8738,"BERRIEN"
"MI-W-15171","NORTON X BREWING, LTD","LIBERTY STREET WINERY","149 W LIBERTY","PLYMOUTH","MI",48170,8001,"WAYNE"
"MI-W-15172","NORTHERN SUN WINERY, INC."," ","983 10TH RD","BARK RIVER","MI",49807,9758,"DELTA"
"MI-W-15173","FISH HOOK DISTILLING COMPANY, LLC","VIZZINI VINO","161 VESTER ST","FERNDALE","MI",48220,1711,"OAKLAND"
"MI-W-15174","BRENGMAN BROTHERS LLC","BRENGMAN BROTHERS","9720 CENTER RD","TRAVERSE CITY","MI",49686,8696,"GRAND TRAVERSE"
"MI-W-15175","WITCH'S HAT BREWING COMPANY, L.L.C.","WITCH'S HAT BREWING COMPANY","22235 PONTIAC TRL","SOUTH LYON","MI",48178,1639,"OAKLAND"
"MI-W-15177","FRENCH VALLEY VINEYARDS, LLC","FRENCH VALLEY VINEYARDS","3655 S FRENCH RD","CEDAR","MI",49621,9604,"LEELANAU"
"MI-W-152","THE WHITE HOUSE RESTAURANT & WINERY, INC."," ","149 GRIFFITH ST","SAUGATUCK","MI",49453,0,"ALLEGAN"
"MI-W-155","WYNCROFT, LLC","WYNCROFT MARLAND","716B FRONT ST","BUCHANAN","MI",49107,1495,"BERRIEN"
"MI-W-157","WINE CREATIONS LLC"," ","33422 WOODWARD AVE","BIRMINGHAM","MI",48009,0,"OAKLAND"
"MI-W-158","GILL'S PIER VINEYARD & WINERY, INC."," ","5700 N MANITOU TRL","NORTHPORT","MI",49670,8401,"LEELANAU"
"MI-W-163","MYSTIC ALE & LAGER BREWING CO., INC."," ","5266 GULL RD","KALAMAZOO","MI",49048,1011,"KALAMAZOO"
"MI-W-164","CASCADE WINERY, INC.","CASCADE WINERY","4665 BROADMOOR SE","GRAND RAPIDS","MI",49512,0,"KENT"
"MI-W-165","NEW HOLLAND BREWING COMPANY, L.L.C."," ","66 E 8TH ST","HOLLAND","MI",49423,3504,"OTTAWA"
"MI-W-166","MOTOR CITY BREWING WORKS, INC."," ","470 W CANFIELD ST","DETROIT","MI",48201,1220,"WAYNE"
"MI-W-167","VERITAS VINEYARD LLC"," ","2199 N CONCORD RD","ALBION","MI",49224,9645,"CALHOUN"
"MI-W-1674","WARNER VINEYARDS, INC.","WARNER VINEYARDS","706 S KALAMAZOO ST","PAW PAW","MI",49079,1558,"VAN BUREN"
"MI-W-170","UNCLE JOHN'S FRUIT HOUSE WINERY, L.L.C.","UNCLE JOHN'S FRUIT HOUSE WINERY","8614 N US HIGHWAY 27","SAINT JOHNS","MI",48879,9425,"CLINTON"
"MI-W-1703","ST. JULIAN WINE COMPANY, INC.","ST. JULIAN WINE COMPANY","716 S KALAMAZOO ST","PAW PAW","MI",49079,1558,"VAN BUREN"
"MI-W-171","BELL'S BREWERY, INC."," ","355 E KALAMAZOO AVE","KALAMAZOO","MI",49007,3807,"KALAMAZOO"
"MI-W-172","TRESARD ENTERPRISES, INC.","FILIPO MARC WINERY","39085 GARFIELD RD","CLINTON TOWNSHIP","MI",48038,0,"MACOMB"
"MI-W-173","JOSEPHINE INC."," ","241 W NINE MILE RD","FERNDALE","MI",48220,0,"OAKLAND"
"MI-W-176","GORALSKI ENTERPRISES LLC"," ","4937 S 52ND AVE","NEW ERA","MI",49446,8023,"OCEANA"
"MI-W-177","CHERRY REPUBLIC, INC.","CHERRY REPUBLIC WINERY","6026 S LAKE ST","GLEN ARBOR","MI",49636,0,"LEELANAU"
"MI-W-180","VINTNER'S CELLAR OF SALINE, LLC","VINTNER'S CELLAR OF SALINE","100 E MICHIGAN AVE","SALINE","MI",48176,1553,"WASHTENAW"
"MI-W-181","SUSAN WILLS","WILLS WINERY","814 S MAIN ST","LAPEER","MI",48446,0,"LAPEER"
"MI-W-183","ANTHONY FANELLI"," ","50466 HEATHERWOOD LN","SHELBY TOWNSHIP","MI",48317,1439,"MACOMB"
"MI-W-185","MULRENIN BROTHERS MANAGEMENT COMPANY, LLC","FIELDSTONE WINERY","223 S MAIN ST","ROCHESTER","MI",48307,2034,"OAKLAND"
"MI-W-187","CHERRY POINT ENTERPRISES, INC.","CHERRY POINT VINEYARDS","9600 W BUCHANAN","SHELBY","MI",49455,9550,"OCEANA"
"MI-W-20052","KESU INC.","BIG SABLE WINERY","717 E LUDINGTON AVE E","LUDINGTON","MI",49431,0,"Mason"
"MI-W-20190","MODERN CRAFT WINERY LLC","MODERN CRAFT WINERY","2760 E BOOTH RD E","AU GRES","MI",48703,9485,"Arenac"
"MI-W-20246","MORAINE VINEYARDS LLC","MORAINE VINEYARDS","111 W SHAWNEE RD","BARODA","MI",49101,0,"Berrien"
"MI-W-20262","MEL PROPERTY INVESTMENTS, LLC"," ","185 MT. TABOR RD","BUCHANAN","MI",49107,0,"Berrien"
"MI-W-20356","JEANE ELLIN HEALY","VINOMONDO WINE BAR","104 1ST ST","PORT HURON","MI",48060,5445,"St Clair"
"MI-W-20444","EAGLEMONK BREWING COMPANY, INC.","EAGLEMONK PUB AND BREWERY","4906 W MT. HOPE HWY","LANSING","MI",48917,9588,"Eaton"
"MI-W-37","FENN VALLEY VINEYARDS, INC.","FENN VALLEY VINEYARDS","6130 122ND AVE","FENNVILLE","MI",49408,8413,"ALLEGAN"
"MI-W-38","CHATEAU GRAND TRAVERSE, LTD","CHATEAU GRAND TRAVERSE","12239 CENTER RD","TRAVERSE CITY","MI",49686,8558,"GRAND TRAVERSE"
"MI-W-41","BERNARD C. RINK","BOSKYDEL VINEYARD","7501 E OTTO RD","LAKE LEELANAU","MI",49653,9419,"LEELANAU"
"MI-W-42","LEELANAU WINE CELLARS, LTD.","LEELANAU WINE CELLARS","7161 NW BAY SHORE DR","OMENA","MI",49674,0,"LEELANAU"
"MI-W-43","L. MAWBY, LLC"," ","4519 S ELM VALLEY RD","SUTTONS BAY","MI",49682,9473,"LEELANAU"
"MI-W-49","CHI COMPANY"," ","10243 RED ARROW HWY","BRIDGMAN","MI",49106,9386,"BERRIEN"
"MI-W-50","HARBOR HILL FRUIT FARMS, INC.","GOOD HARBOR VINEYARDS","34 S MANITOU TRL","LAKE LEELANAU","MI",49653,9589,"LEELANAU"
"MI-W-51","ST. JULIAN WINE COMPANY, INC.","ST. JULIAN WINE COMPANY","127 S MAIN ST","FRANKENMUTH","MI",48734,1611,"SAGINAW"
"MI-W-70","WINEGROW, INC.","WINEGROW","14387 MADRON LAKE RD","BUCHANAN","MI",49107,9392,"BERRIEN"
"MI-W-72","LEMON CREEK WINERY, LTD.","LEMON CREEK WINERY","533 E LEMON CREEK RD","BERRIEN SPRINGS","MI",49103,9714,"BERRIEN"
"MI-W-84","BOWERS HARBOR VINEYARD & WINERY, INC.","BOWERS HARBOR VINEYARDS","2896 BOWERS HARBOR RD","TRAVERSE CITY","MI",49686,9735,"GRAND TRAVERSE"
"MI-W-85","CHATEAU OPERATIONS, LTD.","CHATEAU CHANTAL","15900 RUE DE VIN","TRAVERSE CITY","MI",49686,9379,"GRAND TRAVERSE"
"MI-W-89","GRAPE HARBOR, INC.","PENINSULA CELLARS","2464 KROUPA RD","TRAVERSE CITY","MI",49686,0,"GRAND TRAVERSE"
"MI-W-91","SHADY LANE ORCHARD,. INC.","SHADY LANE CELLARS","9580 E SHADY LN","SUTTONS BAY","MI",49682,9440,"LEELANAU"
"MI-W-96","WILLOW VINEYARD, INC","WILLOW VINEYARD","10702 E HILLTOP RD","SUTTONS BAY","MI",49682,9419,"LEELANAU"
"MI-W-97","KIRK E. RASMUSSEN","K. EDWARD WINERY","52723 KARON DR","MACOMB","MI",48042,5642,"MACOMB"
"MI-WS-15002","RIGHT BRAIN BEVERAGES, LLC"," ","221 GARLAND ST","TRAVERSE CITY","MI",49684,2271,"GRAND TRAVERSE"
"MN-W-15001","GOOSE LAKE FARM AND WINERY LLC","GOOSE LAKE FARM AND WINERY","6760 213TH AVE NW","ELK RIVER","MN",55330,0,"SHERBURNE"
"MN-W-15002","CANNON RIVER WINERY, LLC","CANNON RIVER WINERY","421 MILL ST","CANNON FALLS","MN",55009,0,"GOODHUE"
"MN-W-15003","LEROY STUMPF & CAROL STUMPF","TWO FOOLS VINEYARD","12501 240TH AVE SE","PLUMMER","MN",56748,9600,"RED LAKE"
"MN-W-15004","CROFUT FAMILY WINERY AND VINEYARD, LLC"," ","21646 LANGFORD AVE","JORDAN","MN",55352,9358,"SCOTT"
"MN-W-15006","EGLON SPIRITS, LLC"," ","2976 297TH ST S","LAKE PARK","MN",56554,0,"BECKER"
"MN-W-15007","SALEM GLEN VINEYARD AND WINERY LLC","SALEM GLEN VINEYARD AND WINERY","5211 60TH AVE SW","ROCHESTER","MN",55902,0,"OLMSTED"
"MN-W-15008","GARVIN HEIGHTS VINEYARDS LLC"," ","2255 GARVIN HEIGHTS RD","WINONA","MN",55987,5465,"WINONA"
"MN-W-15010","OLDE COUNTRY VINEYARDS, INC.","OLDE COUNTRY","301 OLDE COUNTRY SCHOOLYARD E","LAKE LILLIAN","MN",56253,0,"KANDIYOHI"
"MN-W-15011","MARK D. HEDIN","WHITE RABBIT VINEYARDS & WINERY","3482 165TH LN NW","ANDOVER","MN",55304,0,"ANOKA"
"MN-W-15013","TIMOTHY CLARK HARBO","HARBO CIDER","20758 528TH AVE","LAKE CRYSTAL","MN",56055,2291,"BLUE EARTH"
"MN-W-15014","GLACIAL RIDGE WINERY, INC.","GLACIAL RIDGE WINERY","15455 OLD MILL RD","SPICER","MN",56288,9580,"KANDIYOHI"
"MN-W-15015","WOODLAND HILL VINEYARDS, LLC","WOODLAND HILL WINERY","731 COUNTY ROAD 30 SE","DELANO","MN",55328,8034,"WRIGHT"
"MN-W-15016","DOPPELEICHEN VINEYARDS LLC","DOPPELEICHEN VINEYARDS","58608 COUNTY ROAD 21","NEW ULM","MN",56073,0,"BROWN"
"MN-W-15017","CRYSTAL CREEK FARMS, INC."," ","42618 78TH ST","HILLMAN","MN",56338,2301,"MORRISON"
"MN-W-15019","WINE CREATIONS, LLC"," ","4899 MILLER TRUNK HWY","HERMANTOWN","MN",55811,1583,"SAINT LOUIS"
"MN-W-15021","WHITEWATER WINES, LLC","WHITEWATER WINES","10832 FISCHER HILL DR","PLAINVIEW","MN",55964,0,"WABASHA"
"MN-W-15022","HINTERLAND VINEYARDS, LLC","HINTERLAND VINEYARDS","3060 120TH AVE SE","CLARA CITY","MN",56222,1085,"CHIPPEWA"
"MN-W-15023","MILLNER VINEYARD, LLC","MILLNER HERITAGE VINEYARD & WINERY","32025 STATE HIGHWAY 15","KIMBALL","MN",55353,0,"STEARNS"
"MN-W-15024","PARLEY LAKE WINERY LLP","PARLEY LAKE WINERY","8180 &8350 PARLEY LAKE RD","WACONIA","MN",55387,9607,"CARVER"
"MN-W-15025","RICHWOOD WINERY LLC"," ","27799 COUNTY HIGHWAY 34","RICHWOOD","MN",56577,0,"BECKER"
"MN-W-15029","INDIAN ISLAND WINERY,LLC","INDIAN ISLAND WINERY","18018 631 AVE","JANESVILLE","MN",56048,0,"WASECA"
"MN-W-15031","WAREHOUSE WINERY LLC","WAREHOUSE WINERY","6415 CAMBRIDGE ST","SAINT LOUIS PARK","MN",55426,4419,"HENNEPIN"
"MN-W-15032","STARK WINES, LLC","STARK WINES","43150 BLACKHAWK RD","HARRIS","MN",55032,3507,"CHISAGO"
"MN-W-15033","S & S VINEYARDS & WINERY LLC"," ","40895 COUNTY HWY","NEW YORK MILLS","MN",56567,0,"OTTER TAIL"
"MN-W-15034","DIETMAN VINEYARD & WINERY, LLC","BUFFALO ROCK WINERY","4527 23RD ST SE","BUFFALO","MN",55313,5221,"WRIGHT"
"MN-W-15035","RIVER VIEW WINERY LLC","RIVER VIEW VINEYARD","32882 COUNTY RD 1","LA CRESCENT","MN",55947,4290,"HOUSTON"
"MN-W-15036","WHISPERING OAKS WINERY, INC.","WHISPERING OAKS WINERY","33578 COUNTY RD","MELROSE","MN",56352,4600,"STEARNS"
"MN-W-15037","WHISTLE POST LLC","SOVEREIGN ESTATE WINE","9950 N SHORE RD","WACONIA","MN",55387,9503,"CARVER"
"MN-W-15038","BENJAMIN HAUSE","PAINTED PRAIRIE VINEYARD","1575 250TH AVE","CURRIE","MN",56123,1128,"MURRAY"
"MN-W-15039","WILD MOUNTAIN WINERY, INC.","WILD MOUNTAIN WINERY","16906 WILD MOUNTAIN RD","TAYLORS FALLS","MN",55084,1796,"CHISAGO"
"MN-W-15040","CROW RIVER WINERY, LLC"," ","14848 HIGHWAY 7 E","HUTCHINSON","MN",55350,5734,"MCLEOD"
"MN-W-15041","IN VINO VERITAS, INC.","HIDDEN VIEW WINERY","901 STANLEY AVE","CLOQUET","MN",55720,3186,"CARLTON"
"MN-W-15043","K & B CIDERY, INCORPORATED","TIN SHED CIDER COMPANY","19365 CANNON CITY BLVD","FARIBAULT","MN",55021,8039,"RICE"
"MN-W-15044","CHANKASKA CREEK RANCH & WINERY, LLC","CHANKASKA CREEK RANCH & WINERY","1179 E PEARL ST","KASOTA","MN",56050,4296,"LE SUEUR"
"MN-W-15045","WEEDY LAKE ORCHARD & VINES, INC.","WEEDY LAKE ORCHARD & VINES","19618 JOHNSON DR","AUDUBON","MN",56511,0,"BECKER"
"MN-W-15046","GRANDVIEW VALLEY WINERY INC.","GRAND VALLEY WINERY","42703 GRANDVIEW AVE","BELVIEW","MN",56214,1362,"REDWOOD"
"MN-W-20092","FOUR DAUGHTERS VINEYARD AND WINERY LLC","FOUR DAUGHTERS VINEYARD AND WINERY",,"SPRING VALLEY","MN",55975,0,"Mower"
"MN-W-20095","FLOWER VALLEY VINEYARDS, LLC"," ","29212 ORCHARD RD","RED WING","MN",55066,0,"Goodhue"
"MN-W-20169","WINDSONG WINERY, LLC"," ","480 60TH ST NE","BENSON","MN",56215,1086,"Swift"
"MN-W-20188","WILLOW TREE VINYARD & WINERY LLC"," ","828 CONSTANCE BLVD NE","HAM LAKE","MN",55304,5349,"Anoka"
"MN-W-20443","POUCHTEC INDUSTRIES, LLC"," ","347 SHERIDAN RD SE","FOLEY","MN",56329,8523," "
"MN-W-30","ALEXIS BAILLY VINEYARD, INC.","ALEXIS BAILLY VINEYARD","18200 S KIRBY AVE","HASTINGS","MN",55033,9340,"DAKOTA"
"MN-W-32","J. BIRD WINES, INC.","J. BIRD WINES","36337 NE POLK ST","STANCHFIELD","MN",55080,8007,"ISANTI"
"MN-W-33","MINNESOTA WINEGROWERS COOPERATIVE","NORTHERN VINEYARDS","223 N MAIN ST","STILLWATER","MN",55082,5021,"WASHINGTON"
"MN-W-37","ST. CROIX VINEYARDS, INC.","ST. CROIX VINEYARDS","6428 N MANNING AVE","STILLWATER","MN",55082,9462,"WASHINGTON"
"MN-W-38","MINNESOTA SPECIALTY CROPS, INCORPORATED","MINNESTALGIA WINERY","41640 STATE HIGHWAY 65","MCGREGOR","MN",55760,0,"AITKIN"
"MN-W-39","WINEHAVEN, INC."," ","9757 292ND ST","CHISAGO CITY","MN",55013,9600,"CHISAGO"
"MN-W-41","SCENIC VALLEY WINERY, INC."," ","101 COFFEE ST","LANESBORO","MN",55949,9748,"FILLMORE"
"MN-W-42","GEORGE MARTI AND PAULA MARTI","MORGAN CREEK VINEYARDS","23707 478TH AVENUE","NEW ULM","MN",56073,0,"BROWN"
"MN-W-46","CARLOS CREEK WINERY, INC.","CARLOS CREEK WINERY","6693 COUNTY ROAD 34 NW","ALEXANDRIA","MN",56308,9857,"DOUGLAS"
"MN-W-47","SHUSTER, WILDMO & SHUSTER, INC.","FORESTEDGE WINERY","35295 STATE HIGHWAY 64","LAPORTE","MN",56461,4011,"HUBBARD"
"MN-W-49","FIELDSTONE VINEYARDS, INC.","FIELDSTONE VINEYARDS","252 SECOND STREET EAST","REDWOOD FALLS","MN",56283,0,"REDWOOD"
"MN-W-51","JOHN FALCONER","FALCONER VINEYARDS","3572 OLD TYLER RD","RED WING","MN",55066,1753,"GOODHUE"
"MN-W-53","PATTON FAMILY VINEYARD, INC."," ","4481 N FRONTAGE RD NW","ROCHESTER","MN",55901,3191,"OLMSTED"
"MN-WS-33","UNITED STATES DISTILLED PRODUCTS CO."," ","1607 S 12TH ST","PRINCETON","MN",55371,2300,"MILLE LACS"
"MO-W-102","JERRY & JOANNE SMITH","RIVER RIDGE","COUNTY ROAD 321 P.O. BOX 118","COMMERCE","MO",63742,0,"SCOTT"
"MO-W-105","SUGAR CREEK WINERY, INC.","SUGAR CREEK WINERY","125 BOONE COUNTY LN","DEFIANCE","MO",63341,3103,"SAINT CHARLES"
"MO-W-110","STONEHAUS FARMS VINEYARD & WINERY, L.L.C.","STONEHAUS FARMS","24607 NE COLBERN RD","LEES SUMMIT","MO",64086,9513,"JACKSON"
"MO-W-117","MONTSERRAT VINEYARDS, L.L.C.","MONTSERRAT VINEYARDS","104 NE 641","KNOB NOSTER","MO",65336,1925,"JOHNSON"
"MO-W-119","AKC ENTERPRISES, INC.","WINERY OF THE LITTLE HILLS","501 S MAIN ST","SAINT CHARLES","MO",63301,3438,"SAINT CHARLES"
"MO-W-120","PEACEFUL BEND VINEYARD, LLC"," ","1942 HIGHWAY T","STEELVILLE","MO",65565,5067,"CRAWFORD"
